object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 101065,---,NaN,NaN,3,1
HD 103779,19.82,NaN,NaN,3,1
HD 104705,20.08,NaN,NaN,3,1
HD 109399,20.04,NaN,NaN,3,1
HD 111934,---,NaN,NaN,3,1
HD 112272,---,NaN,NaN,3,1
HD 113904,19.83,NaN,NaN,3,1
HD 114886,20.23,NaN,NaN,3,1
HD 116852,19.79,NaN,NaN,3,1
HD 122879,20.24,NaN,NaN,3,1
HD 124314,20.52,NaN,NaN,3,1
HD 133518,---,NaN,NaN,3,1
HD 135591,19.77,NaN,NaN,3,1
HD 143275,19.41,NaN,NaN,3,1
HD 144470,20.05,NaN,NaN,3,1
HD 145502,19.89,NaN,NaN,3,1
HD 147084,---,NaN,NaN,3,1
HD 147165,19.79,NaN,NaN,3,1
HD 147683,20.68,NaN,NaN,3,1
HD 147888,20.48,NaN,NaN,3,1
HD 147889,21.37,NaN,NaN,3,1
HD 147933,20.57,NaN,NaN,3,1
HD 147934,,NaN,NaN,3,1
HD 148605,18.74,NaN,NaN,3,1
HD 148937,20.71,NaN,NaN,3,1
HD 149038,20.45,NaN,NaN,3,1
HD 149404,---,NaN,NaN,3,1
HD 149757,20.65,NaN,NaN,3,1
HD 150136,---,NaN,NaN,3,1
HD 151804,20.26,NaN,NaN,3,1
HD 152408,20.38,NaN,NaN,3,1
HD 152424,---,NaN,NaN,3,1
HD 153919,---,NaN,NaN,3,1
HD 154043,---,NaN,NaN,3,1
HD 155806,19.92,NaN,NaN,3,1
HD 156201,---,NaN,NaN,3,1
HD 157246,19.23,NaN,NaN,3,1
HD 157978,---,NaN,NaN,3,1
HD 158926,12.7,NaN,NaN,3,1
HD 164073,---,NaN,NaN,3,1
HD 164353,20.26,NaN,NaN,3,1
HD 164740,20.19,NaN,NaN,3,1
HD 164906,---,NaN,NaN,3,1
HD 165319,---,NaN,NaN,3,1
HD 166937,---,NaN,NaN,3,1
HD 167264,20.28,NaN,NaN,3,1
HD 167838,---,NaN,NaN,3,1
HD 167971,20.85,NaN,NaN,3,1
HD 168076,20.68,NaN,NaN,3,1
HD 169454,---,NaN,NaN,3,1
HD 170740,20.86,NaN,NaN,3,1
HD 170938,---,NaN,NaN,3,1
HD 171957,---,NaN,NaN,3,1
HD 172694,---,NaN,NaN,3,1
HD 180554,---,NaN,NaN,3,1
HD 183143,---,NaN,NaN,3,1
HD 184915,20.31,NaN,NaN,3,1
HD 185418,20.71,NaN,NaN,3,1
HD 185859,---,NaN,NaN,3,1
HD 186745,---,NaN,NaN,3,1
HD 186841,---,NaN,NaN,3,1
HD 203532,20.64,NaN,NaN,3,1
HD 22951,20.46,NaN,NaN,3,1
HD 23016,---,NaN,NaN,3,1
HD 23180,20.6,NaN,NaN,3,1
HD 24398,20.67,NaN,NaN,3,1
HD 27778,20.72,NaN,NaN,3,1
HD 303308,20.34,NaN,NaN,3,1
HD 34748,---,NaN,NaN,3,1
HD 36486,14.68,NaN,NaN,3,1
HD 36695,---,NaN,NaN,3,1
HD 36822,19.32,NaN,NaN,3,1
HD 36861,19.12,NaN,NaN,3,1
HD 36982,---,NaN,NaN,3,1
HD 37020,---,NaN,NaN,3,1
HD 37021,---,NaN,NaN,3,1
HD 37022,17.55,NaN,NaN,3,1
HD 37023,---,NaN,NaN,3,1
HD 37041,---,NaN,NaN,3,1
HD 37061,---,NaN,NaN,3,1
HD 37128,16.57,NaN,NaN,3,1
HD 37367,20.53,NaN,NaN,3,1
HD 37903,20.85,NaN,NaN,3,1
HD 38087,20.64,NaN,NaN,3,1
HD 38771,15.68,NaN,NaN,3,1
HD 39680,19.53,NaN,NaN,3,1
HD 40111,19.73,NaN,NaN,3,1
HD 41117,20.69,NaN,NaN,3,1
HD 43384,20.87,NaN,NaN,3,1
HD 45314,20.6,NaN,NaN,3,1
HD 49787,---,NaN,NaN,3,1
HD 50820,---,NaN,NaN,3,1
HD 53975,19.18,NaN,NaN,3,1
HD 54439,---,NaN,NaN,3,1
HD 54662,20,NaN,NaN,3,1
HD 55879,---,NaN,NaN,3,1
HD 57061,15.48,NaN,NaN,3,1
HD 61827,---,NaN,NaN,3,1
HD 66194,---,NaN,NaN,3,1
HD 66811,14.45,NaN,NaN,3,1
HD 73882,21.08,NaN,NaN,3,1
HD 75309,20.2,NaN,NaN,3,1
HD 75860,---,NaN,NaN,3,1
HD 79186,20.72,NaN,NaN,3,1
HD 80558,---,NaN,NaN,3,1
HD 81188,17.7,NaN,NaN,3,1
HD 91824,19.85,NaN,NaN,3,1
HD 93030,15.02,NaN,NaN,3,1
HD 93205,19.78,NaN,NaN,3,1
HD 93222,19.78,NaN,NaN,3,1
HD 93843,19.61,NaN,NaN,3,1
HD 94493,20.15,NaN,NaN,3,1
HD 99953,---,NaN,NaN,3,1
